"id,question,correct_answer,choices"
"1,""Chương trình Tổng thể cải cách hành chính nhà nước giai đoạn 2021-2030 có mấy nội dung? Đó là những nội dung gì?"",""Có 6 nội dung: Cải cách thể chế; Cải cách thủ tục hành chính; Cải cách tổ chức bộ máy hành chính nhà nước; Cải cách chế độ công vụ; Cải cách tài chính công và Xây dựng, phát triển Chính phủ điện tử, Chính phủ số."",""Có 5 nội dung: Cải cách tư pháp; Cải cách thủ tục hành chính; Cải cách tổ chức bộ máy hành chính nhà nước; Xây dựng và nâng cao chất lượng đội ngũ cán bộ, công chức, viên chức; Cải cách tài chính công.;Có 6 nội dung: Cải cách thể chế; Cải cách thủ tục hành chính; Cải cách tổ chức bộ máy hành chính nhà nước; Cải cách chế độ công vụ; Cải cách tài chính công và Xây dựng, phát triển Chính phủ điện tử, Chính phủ số.;Có 5 nội dung: Hiện đại hóa hành chính; Cải cách thủ tục hành chính; Cải cách tài chính công; Cải cách tổ chức bộ máy hành chính nhà nước; Xây dựng và nâng cao chất lượng đội ngũ cán bộ, công chức, viên chức.;Có 7 nội dung: Chỉ đạo điều hành; Cải cách tư pháp; Cải cách thủ tục hành chính; Cải cách tổ chức bộ máy hành chính nhà nước; Cải cách chế độ công vụ; Cải cách tài chính công; Xây dựng, phát triển Chính phủ điện tử, Chính phủ số."""
"2,""Trọng tâm CCHC theo Chương trình tổng thể cải cách hành chính nhà nước giai đoạn 2021 - 2030 là:"",""Cải cách thể chế, trong đó tập trung xây dựng, hoàn thiện hệ thống thể chế của nền hành chính và nâng cao hiệu lực, hiệu quả tổ chức thi hành pháp luật"",""Cải cách thể chế, trong đó tập trung xây dựng, hoàn thiện hệ thống thể chế của nền hành chính và nâng cao hiệu lực, hiệu quả tổ chức thi hành pháp luật;Xây dựng đội ngũ cán bộ, công chức, viên chức chuyên nghiệp, có năng lực, phẩm chất đáp ứng yêu cầu nhiệm vụ và sự phát triển đất nước.;Cải cách tài chính công.;Câu A, và Câu B đúng"""
"3,""Nội dung nào sau đây **không** là mục tiêu trọng tâm cải cách hành chính trong giai đoạn 2021-2030"",""Xây dựng và phát triển Chính phủ điện tử, Chính phủ số."",""Cải cách thể chế;Cải cách tổ chức bộ máy;Xây dựng và phát triển Chính phủ điện tử, Chính phủ số.;Câu A và B đúng, Câu C sai"""
"4,""Nội dung nào sau đây **không** là nhiệm vụ chính của Chương trình tổng thể cải cách hành chính nhà nước được nêu tại Nghị quyết số 76/NQ-CP?"",""Có sự vào cuộc của cả hệ thống chính trị với quyết tâm cao, nỗ lực lớn"",""Cải cách thủ tục hành chính;Cải cách tài chính công;Có sự vào cuộc của cả hệ thống chính trị với quyết tâm cao, nỗ lực lớn;Hiện đại hóa hành chính"""
"5,""Nội dung nào sau đây là **giải pháp** thực hiện Chương trình tổng thể cải cách hành chính nhà nước được nêu tại Nghị quyết số 76/NQ-CP?"",""Tăng cường kỷ luật, kỷ cương hành chính gắn với tạo động lực cải cách trong đội ngũ cán bộ, công chức, viên chức."",""Xây dựng, phát triển đô thị thông minh;Phát triển các hệ thống làm việc tại nhà, từ xa của các cơ quan nhà nước.;100% cán bộ, công chức cấp xã có trình độ cao đẳng, đại học và được chuẩn hoá về lý luận chính trị, chuyên môn, nghiệp vụ, kỹ năng làm việc.;Tăng cường kỷ luật, kỷ cương hành chính gắn với tạo động lực cải cách trong đội ngũ cán bộ, công chức, viên chức."""
"6,""PAR INDEX là tên tiếng Anh của chỉ số nào sau đây?"",""Chỉ số cải cách hành chính."",""Chỉ số năng lực cạnh tranh cấp tỉnh.;Chỉ số hiệu quả quản trị và hành chính công cấp tỉnh.;Chỉ số cải cách hành chính.;Chỉ số hài lòng về sự phục vụ hành chính công."""
"7,""SIPAS là tên viết tắt tiếng Anh của chỉ số nào sau đây?"",""Chỉ số hài lòng về sự phục vụ hành chính công."",""Chỉ số hiệu quả quản trị và hành chính công cấp tỉnh.;Chỉ số hài lòng về sự phục vụ hành chính công.;Chỉ số năng lực cạnh tranh cấp tỉnh.;Chỉ số cải cách hành chính."""
"8,""Theo Nghị quyết số 76/NQ-CP ngày 15/7/2021 của Chính phủ, cải cách hành chính nhà nước giai đoạn 2021 - 2030 tập trung vào:"",""Cải cách thủ tục hành chính."",""Cải cách chế độ Nhà nước.;Cải cách doanh nghiệp Nhà nước.;Cải cách thủ tục hành chính.;Cải cách tiền lương."""
"9,""Theo quan điểm Nghị quyết số 76/NQ-CP ngày 15/7/2021 của Chính phủ, cải cách hành chính phải xuất phát từ lợi ích của ai?"",""Xuất phát từ lợi ích của người dân, doanh nghiệp"",""Xuất phát từ lợi ích của người dân;Xuất phát từ lợi ích của doanh nghiệp;Xuất phát từ lợi ích của người dân, doanh nghiệp;Xuất phát từ lợi ích của người dân, doanh nghiệp, xã hội"""
"10,""Theo mục tiêu của Chương trình tổng thể cải cách hành chính nhà nước giai đoạn 2021 - 2030, đến năm nào thì “100% cán bộ, công chức cấp xã có trình độ cao đẳng, đại học và được chuẩn hoá về lý luận chính trị, chuyên môn, nghiệp vụ, kỹ năng làm việc”?"",""2030"",""2024;2026;2028;2030"""
"11,""Luật Tổ chức Chính quyền địa phương hiện hành được Quốc hội nước Cộng hòa xã hội chủ nghĩa Việt Nam khóa XV, Kỳ họp thứ 9 thông qua ngày, tháng, năm?"",""16/6/2025"",""15/5/2025;15/6/2025;16/6/2025;16/6/2025"""
